country_code,year_pred
SUR,2012
SUR,2013
SUR,2014
SUR,2015
SUR,2016
SUR,2017
SUR,2018
SUR,2019
SUR,2020
SUR,2021
SUR,2022
SUR,2023
SWZ,2004
SWZ,2005
SWZ,2006
SWZ,2007
SWZ,2008
SWZ,2009
SWZ,2010
SWZ,2011
SWZ,2012
SWZ,2013
SWZ,2014
SWZ,2015
SWZ,2016
SWZ,2017
SWZ,2018
SWZ,2019
SWZ,2020
SWZ,2021
SWZ,2022
SWZ,2023
SYR,2001
SYR,2002
SYR,2003
SYR,2004
SYR,2005
SYR,2006
SYR,2007
SYR,2008
SYR,2009
SYR,2010
SYR,2011
SYR,2012
SYR,2013
SYR,2014
SYR,2015
SYR,2016
SYR,2017
SYR,2018
SYR,2019
SYR,2020
SYR,2021
SYR,2022
TCD,2001
TCD,2002
TCD,2003
TCD,2004
TCD,2005
TCD,2006
TCD,2007
TCD,2008
TCD,2009
TCD,2010
TCD,2011
TCD,2012
TCD,2013
TCD,2014
TCD,2015
TCD,2016
TCD,2017
TCD,2018
TCD,2019
TCD,2020
TCD,2021
TCD,2022
TCD,2023
TGO,2001
TGO,2002
TGO,2003
TGO,2004
TGO,2005
TGO,2006
TGO,2007
TGO,2008
TGO,2009
TGO,2010
TGO,2011
TGO,2012
TGO,2013
TGO,2014
TGO,2015
TGO,2016
TGO,2017
TGO,2018
TGO,2019
TGO,2020
TGO,2021
TGO,2022
TGO,2023
THA,2001
THA,2002
THA,2003
THA,2004
THA,2005
THA,2006
THA,2007
THA,2008
THA,2009
THA,2010
THA,2011
THA,2012
THA,2013
THA,2014
THA,2015
THA,2016
THA,2017
THA,2018
THA,2019
THA,2020
THA,2021
THA,2022
THA,2023
TJK,2001
TJK,2002
TJK,2003
TJK,2004
TJK,2005
TJK,2006
TJK,2007
TJK,2008
TJK,2009
TJK,2010
TJK,2011
TJK,2012
TJK,2013
TJK,2014
TJK,2015
TJK,2016
TJK,2017
TJK,2018
TJK,2019
TJK,2020
TJK,2021
TJK,2022
TJK,2023
TKM,2001
TKM,2002
TKM,2003
TKM,2004
TKM,2005
TKM,2006
TKM,2007
TKM,2008
TKM,2009
TKM,2010
TKM,2011
TKM,2012
TKM,2013
TKM,2014
TKM,2015
TKM,2016
TKM,2017
TKM,2018
TKM,2019
TKM,2020
TKM,2021
TKM,2022
TKM,2023
TLS,2007
TLS,2008
TLS,2009
TLS,2010
TLS,2011
TLS,2012
TLS,2013
TLS,2014
TLS,2015
TLS,2016
TLS,2017
TLS,2018
TLS,2019
TLS,2020
TLS,2021
TLS,2022
TLS,2023
TON,2001
TON,2002
TON,2003
TON,2004
TON,2005
TON,2006
TON,2007
TON,2008
TON,2009
TON,2010
TON,2011
TON,2012
TON,2013
TON,2014
TON,2015
TON,2016
TON,2017
TON,2018
TON,2019
TON,2020
