pais,country_code,year,pib_per_capita_ppc,formacao_bruta_capital_fixo_percent_pib,matricula_ensino_secundario_percent,comercio_percent_pib,investimento_estrangeiro_direto_percent_pib,populacao_total,emprego_industria_percent_emprego_total,valor_agregado_industrial_percent_pib,wgi_control_corruption,wgi_gov_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_law,wgi_voice_accountability,icrg_qog,populacao_total_log,investimento_estrangeiro_direto_percent_pib_log,pib_per_capita_ppc_d1
Afghanistan,AFG,2019,2927.2451435353,11.4556283331357,57.3578491210938,46.7098945514103,0.124495985291258,37856121.0,18.6092921833009,14.0581123697768,0.0,0.0,0.125,0.1428571,0.075,0.095,0.4444444444444444,17.449303268493857,3.671151977297914,24.85303067984023
Afghanistan,AFG,2020,2769.68574507111,11.4556283331357,57.3578491210938,46.7098945514103,0.0649939571808755,39068979.0,18.4813133384578,12.9525996015547,0.0,0.0,0.125,0.1428571,0.075,0.095,0.4444444444444444,17.480839359703,3.669636673452606,-157.55939846419005
Afghanistan,AFG,2021,2144.16657002819,12.9867036666422,57.3578491210938,51.4117163747271,0.144466946606861,40000412.0,19.6166325981684,14.2736570191788,0.125,0.0,0.1875,0.1428571,0.075,0.0106667,0.4444444444444444,17.504400337024908,3.6716600520252527,-625.5191750429199
Afghanistan,AFG,2022,1981.71016810561,16.6684717100358,57.3578491210938,72.8854696086536,0.1047304518938682,40578842.0,19.0365082146219,16.0503677223963,0.125,0.0,0.125,0.2857143,0.15,0.0106667,0.4444444444444444,17.51875738037342,3.670648874496448,-162.4564019225802
Afghanistan,AFG,2023,1983.81261992909,15.2435765521019,59.6136016845703,67.5846651516385,0.1047304518938682,41454761.0,19.2101817019298,13.4498227120978,0.125,0.0,0.1875,0.2857143,0.15,0.0086667,0.4444444444444444,17.54011331835086,3.670648874496448,2.1024518234801235
Angola,AGO,2018,10000.9443772509,24.159251809913,54.4167987304753,58.916480075976,-7.21246216123288,31297155.0,6.91352320117387,41.1891594014386,0.125,0.25,0.625,0.2857143,0.25,0.204,0.3402777777777778,17.259037788762317,3.4644910993811173,-413.2915070477993
Angola,AGO,2019,9648.01103767178,24.5904860348098,54.4167987304753,60.7148243336685,-5.07649440156737,32375632.0,6.91048084459406,42.2251045134162,0.125,0.25,0.625,0.2857143,0.25,0.2073333,0.3842592592592592,17.292916629916387,3.52918473373803,-352.93333957912
Angola,AGO,2020,8960.33797242389,19.551921802528,54.4167987304753,54.3442286847189,-3.17143620765821,33451132.0,6.22112630329174,36.7098511285088,0.125,0.25,0.625,0.2857143,0.25,0.2053333,0.3958333333333333,17.325596215414812,3.583552744175354,-687.6730652478909
Angola,AGO,2021,8862.28133314521,15.959365647445,53.1351542727131,61.5262136695806,-5.47403409372737,34532429.0,5.71757267555681,38.1721950958541,0.125,0.25,0.625,0.2857143,0.25,0.1956667,0.375,17.357409440478254,3.5174568614563446,-98.05663927867863
Angola,AGO,2022,8950.14259255142,14.1370359060667,53.1351542727131,55.2547732713835,-5.02899288556058,35635029.0,7.02747877022109,34.9333591780179,0.125,0.25,0.625,0.3214286,0.25,0.2153332999999999,0.4189814814814814,17.388839700786704,3.530576927452759,87.86125940620877
Angola,AGO,2023,8788.26106439635,12.2907549674003,51.4839046246776,53.033483632308,-1.97786390222726,36749906.0,7.06703901240925,35.1292267229987,0.125,0.25,0.5,0.3214286,0.1999999999999999,0.2226667,0.4444444444444445,17.419646253007674,3.616168679744884,-161.88152815506874
