pais,country_code,year,pib_per_capita_ppc,formacao_bruta_capital_fixo_percent_pib,matricula_ensino_secundario_percent,comercio_percent_pib,investimento_estrangeiro_direto_percent_pib,populacao_total,emprego_industria_percent_emprego_total,valor_agregado_industrial_percent_pib,wgi_control_corruption,wgi_gov_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_law,wgi_voice_accountability,icrg_qog,populacao_total_log,investimento_estrangeiro_direto_percent_pib_log,pib_per_capita_ppc_lag1,pib_per_capita_ppc_lag2,pib_per_capita_ppc_lag3,formacao_bruta_capital_fixo_percent_pib_lag1,formacao_bruta_capital_fixo_percent_pib_lag2,formacao_bruta_capital_fixo_percent_pib_lag3,matricula_ensino_secundario_percent_lag1,matricula_ensino_secundario_percent_lag2,matricula_ensino_secundario_percent_lag3,comercio_percent_pib_lag1,comercio_percent_pib_lag2,comercio_percent_pib_lag3,investimento_estrangeiro_direto_percent_pib_lag1,investimento_estrangeiro_direto_percent_pib_lag2,investimento_estrangeiro_direto_percent_pib_lag3,populacao_total_lag1,populacao_total_lag2,populacao_total_lag3,emprego_industria_percent_emprego_total_lag1,emprego_industria_percent_emprego_total_lag2,emprego_industria_percent_emprego_total_lag3,valor_agregado_industrial_percent_pib_lag1,valor_agregado_industrial_percent_pib_lag2,valor_agregado_industrial_percent_pib_lag3,wgi_control_corruption_lag1,wgi_control_corruption_lag2,wgi_control_corruption_lag3,wgi_gov_effectiveness_lag1,wgi_gov_effectiveness_lag2,wgi_gov_effectiveness_lag3,wgi_political_stability_lag1,wgi_political_stability_lag2,wgi_political_stability_lag3,wgi_regulatory_quality_lag1,wgi_regulatory_quality_lag2,wgi_regulatory_quality_lag3,wgi_rule_law_lag1,wgi_rule_law_lag2,wgi_rule_law_lag3,wgi_voice_accountability_lag1,wgi_voice_accountability_lag2,wgi_voice_accountability_lag3,icrg_qog_lag1,icrg_qog_lag2,icrg_qog_lag3,pib_per_capita_ppc_ma3,pib_per_capita_ppc_ma5,formacao_bruta_capital_fixo_percent_pib_ma3,formacao_bruta_capital_fixo_percent_pib_ma5,matricula_ensino_secundario_percent_ma3,matricula_ensino_secundario_percent_ma5,comercio_percent_pib_ma3,comercio_percent_pib_ma5,investimento_estrangeiro_direto_percent_pib_ma3,investimento_estrangeiro_direto_percent_pib_ma5,populacao_total_ma3,populacao_total_ma5,emprego_industria_percent_emprego_total_ma3,emprego_industria_percent_emprego_total_ma5,valor_agregado_industrial_percent_pib_ma3,valor_agregado_industrial_percent_pib_ma5,wgi_control_corruption_ma3,wgi_control_corruption_ma5,wgi_gov_effectiveness_ma3,wgi_gov_effectiveness_ma5,wgi_political_stability_ma3,wgi_political_stability_ma5,wgi_regulatory_quality_ma3,wgi_regulatory_quality_ma5,wgi_rule_law_ma3,wgi_rule_law_ma5,wgi_voice_accountability_ma3,wgi_voice_accountability_ma5,icrg_qog_ma3,icrg_qog_ma5,pib_per_capita_ppc_diff1,formacao_bruta_capital_fixo_percent_pib_diff1,matricula_ensino_secundario_percent_diff1,comercio_percent_pib_diff1,investimento_estrangeiro_direto_percent_pib_diff1,populacao_total_diff1,emprego_industria_percent_emprego_total_diff1,valor_agregado_industrial_percent_pib_diff1,wgi_control_corruption_diff1,wgi_gov_effectiveness_diff1,wgi_political_stability_diff1,wgi_regulatory_quality_diff1,wgi_rule_law_diff1,wgi_voice_accountability_diff1,icrg_qog_diff1,country_id
Afghanistan,AFG,2003,1815.92819979586,11.4556283331357,13.959529876709,46.7098945514103,1.27849325196424,22733049,13.1753213261538,22.7108641828326,0.125,0.125,0.125,0.25,0.1875,0.25,0.4444444444444444,16.939330370724804,3.7000949863929815,1774.30874287341,,,11.4556283331357,,,14.0404100418091,,,46.7098945514103,,,1.30694987042884,,,21378117.0,,,12.9610790273256,,,23.8101270064854,,,0.125,,,0.125,,,0.0625,,,0.1666667,,,0.1875,,,0.1875,,,0.4444444444444444,,,1795.1184713346352,1795.1184713346352,11.4556283331357,11.4556283331357,13.999969959259051,13.999969959259051,46.7098945514103,46.7098945514103,1.2927215611965401,1.2927215611965401,22055583.0,22055583.0,13.0682001767397,13.0682001767397,23.260495594658998,23.260495594658998,0.125,0.125,0.125,0.125,0.09375,0.09375,0.20833335,0.20833335,0.1875,0.1875,0.21875,0.21875,0.4444444444444444,0.4444444444444444,41.61945692245013,0.0,-0.08088016510009943,0.0,-0.028456618464600014,1354932.0,0.2142422988282,-1.099262823652797,0.0,0.0,0.0625,0.0833333,0.0,0.0625,0.0,0
Afghanistan,AFG,2004,1776.91820712187,11.4556283331357,19.2143802642822,46.7098945514103,3.577104200584,23560654,13.1851590500524,26.2267897500666,0.0,0.25,0.1875,0.1071429,0.075,0.0,0.4444444444444444,16.975088717719444,3.755363521324709,1815.92819979586,1774.30874287341,,11.4556283331357,11.4556283331357,,13.959529876709,14.0404100418091,,46.7098945514103,46.7098945514103,,1.27849325196424,1.30694987042884,,22733049.0,21378117.0,,13.1753213261538,12.9610790273256,,22.7108641828326,23.8101270064854,,0.125,0.125,,0.125,0.125,,0.125,0.0625,,0.25,0.1666667,,0.1875,0.1875,,0.25,0.1875,,0.4444444444444444,0.4444444444444444,,1789.0517165970468,1789.0517165970468,11.4556283331357,11.4556283331357,15.7381067276001,15.7381067276001,46.7098945514103,46.7098945514103,2.05418244099236,2.05418244099236,22557273.333333332,22557273.333333332,13.107186467843933,13.107186467843933,24.2492603131282,24.2492603131282,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.125,0.125,0.1746032,0.1746032,0.15,0.15,0.14583333333333334,0.14583333333333334,0.4444444444444444,0.4444444444444444,-39.009992673990155,0.0,5.254850387573201,0.0,2.2986109486197597,827605.0,0.009837723898600714,3.5159255672339995,-0.125,0.125,0.0625,-0.14285710000000001,-0.1125,-0.25,0.0,0
Afghanistan,AFG,2005,1908.11478234587,11.4556283331357,20.2735099792481,46.7098945514103,4.36867310434287,24404567,13.5002727037863,26.8120992326398,0.0,0.25,0.0625,0.1071429,0.075,0.0,0.4444444444444444,17.010280885855995,3.7737105178703327,1776.91820712187,1815.92819979586,1774.30874287341,11.4556283331357,11.4556283331357,11.4556283331357,19.2143802642822,13.959529876709,14.0404100418091,46.7098945514103,46.7098945514103,46.7098945514103,3.577104200584,1.27849325196424,1.30694987042884,23560654.0,22733049.0,21378117.0,13.1851590500524,13.1753213261538,12.9610790273256,26.2267897500666,22.7108641828326,23.8101270064854,0.0,0.125,0.125,0.25,0.125,0.125,0.1875,0.125,0.0625,0.1071429,0.25,0.1666667,0.075,0.1875,0.1875,0.0,0.25,0.1875,0.4444444444444444,0.4444444444444444,0.4444444444444444,1833.6537297545335,1818.8174830342525,11.4556283331357,11.4556283331357,17.815806706746432,16.8719575405121,46.7098945514103,46.7098945514103,3.0747568522970368,2.6328051068299874,23566090.0,23019096.75,13.286917693330834,13.205458026829525,25.249917721846334,24.8899700430061,0.041666666666666664,0.0625,0.20833333333333334,0.1875,0.125,0.109375,0.15476193333333332,0.157738125,0.1125,0.13125,0.08333333333333333,0.109375,0.4444444444444444,0.4444444444444444,131.19657522400007,0.0,1.0591297149658985,0.0,0.7915689037588698,843913.0,0.3151136537338992,0.5853094825731979,0.0,0.0,-0.125,0.0,0.0,0.0,0.0,0
Afghanistan,AFG,2006,1929.72389709372,11.4556283331357,29.523889541626,46.7098945514103,3.41377297323201,25424094,13.7073220597731,28.2107680719994,0.0,0.0,0.0625,0.1071429,0.0249999999999999,0.102,0.4444444444444444,17.05120790437846,3.7515355688706586,1908.11478234587,1776.91820712187,1815.92819979586,11.4556283331357,11.4556283331357,11.4556283331357,20.2735099792481,19.2143802642822,13.959529876709,46.7098945514103,46.7098945514103,46.7098945514103,4.36867310434287,3.577104200584,1.27849325196424,24404567.0,23560654.0,22733049.0,13.5002727037863,13.1851590500524,13.1753213261538,26.8120992326398,26.2267897500666,22.7108641828326,0.0,0.0,0.125,0.25,0.25,0.125,0.0625,0.1875,0.125,0.1071429,0.1071429,0.25,0.075,0.075,0.1875,0.0,0.0,0.25,0.4444444444444444,0.4444444444444444,0.4444444444444444,1871.5856288538198,1840.9987658461462,11.4556283331357,11.4556283331357,23.003926595052103,19.40234394073488,46.7098945514103,46.7098945514103,3.786516759386293,2.788998680110392,24463105.0,23500096.2,13.464251271203933,13.305830833418238,27.08321901823527,25.55412964880476,0.0,0.05,0.16666666666666666,0.15,0.10416666666666667,0.1,0.1071429,0.14761907999999999,0.0583333333333333,0.10999999999999999,0.033999999999999996,0.1079,0.4444444444444444,0.4444444444444444,21.60911474785007,0.0,9.250379562377901,0.0,-0.9549001311108598,1019527.0,0.20704935598680052,1.3986688393596012,0.0,-0.25,0.0,0.0,-0.0500000000000001,0.102,0.0,0
Afghanistan,AFG,2007,2155.35306784413,11.4556283331357,28.8154907226562,46.7098945514103,1.93570171391636,25909852,14.0332043377993,26.8822416082148,0.125,0.125,0.125,0.25,0.1875,0.306,0.4444444444444444,17.07013387903706,3.7162113842501787,1929.72389709372,1908.11478234587,1776.91820712187,11.4556283331357,11.4556283331357,11.4556283331357,29.523889541626,20.2735099792481,19.2143802642822,46.7098945514103,46.7098945514103,46.7098945514103,3.41377297323201,4.36867310434287,3.577104200584,25424094.0,24404567.0,23560654.0,13.7073220597731,13.5002727037863,13.1851590500524,28.2107680719994,26.8120992326398,26.2267897500666,0.0,0.0,0.0,0.0,0.25,0.25,0.0625,0.0625,0.1875,0.1071429,0.1071429,0.1071429,0.0249999999999999,0.075,0.075,0.102,0.0,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,1997.7305824279065,1917.2076308402902,11.4556283331357,11.4556283331357,26.204296747843433,22.357360076904303,46.7098945514103,46.7098945514103,3.2393825971637464,2.914749048807896,25246171.0,24406443.2,13.746933033786235,13.52025589551298,27.301702970951336,26.16855256915064,0.041666666666666664,0.05,0.125,0.15,0.08333333333333333,0.1125,0.15476193333333335,0.16428574,0.09583333333333331,0.10999999999999999,0.13599999999999998,0.1316,0.4444444444444444,0.4444444444444444,225.62917075040968,0.0,-0.7083988189698012,0.0,-1.47807125931565,485758.0,0.3258822780261994,-1.3285264637845984,0.125,0.125,0.0625,0.14285710000000001,0.1625000000000001,0.20400000000000001,0.0,0
Afghanistan,AFG,2008,2191.50435559062,11.4556283331357,38.930850982666,46.7098945514103,0.45536044478174,26482622,14.2724927619635,26.9156280026285,0.3,0.5599999999999999,0.0625,0.2083333,0.6862499999999999,0.302,0.4444444444444444,17.09199934001861,3.6795362842935204,2155.35306784413,1929.72389709372,1908.11478234587,11.4556283331357,11.4556283331357,11.4556283331357,28.8154907226562,29.523889541626,20.2735099792481,46.7098945514103,46.7098945514103,46.7098945514103,1.93570171391636,3.41377297323201,4.36867310434287,25909852.0,25424094.0,24404567.0,14.0332043377993,13.7073220597731,13.5002727037863,26.8822416082148,28.2107680719994,26.8120992326398,0.125,0.0,0.0,0.125,0.0,0.25,0.125,0.0625,0.0625,0.25,0.1071429,0.1071429,0.1875,0.0249999999999999,0.075,0.306,0.102,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,2092.1937735094903,1992.322861999242,11.4556283331357,11.4556283331357,32.4234104156494,27.351624298095704,46.7098945514103,46.7098945514103,1.9349450439767033,2.750122487371396,25938856.0,25156357.8,14.0043397198453,13.73969018267492,27.33621256094757,27.00950533310982,0.14166666666666666,0.08499999999999999,0.2283333333333333,0.23700000000000002,0.08333333333333333,0.1,0.18849206666666665,0.15595240000000002,0.29958333333333326,0.20974999999999996,0.23666666666666666,0.142,0.4444444444444444,0.4444444444444444,36.1512877464902,0.0,10.115360260009801,0.0,-1.48034126913462,572770.0,0.23928842416420082,0.03338639441370006,0.175,0.43499999999999994,-0.0625,-0.0416667,0.4987499999999999,-0.0040000000000000036,0.0,0
Afghanistan,AFG,2009,2565.02208584099,11.4556283331357,44.2999496459961,46.7098945514103,0.45188914562189,27466101,15.7209119699527,21.8971222069406,0.0,0.0,0.125,0.1071429,0.075,0.1006667,0.4444444444444444,17.12846314774784,3.6794486833545803,2191.50435559062,2155.35306784413,1929.72389709372,11.4556283331357,11.4556283331357,11.4556283331357,38.930850982666,28.8154907226562,29.523889541626,46.7098945514103,46.7098945514103,46.7098945514103,0.45536044478174,1.93570171391636,3.41377297323201,26482622.0,25909852.0,25424094.0,14.2724927619635,14.0332043377993,13.7073220597731,26.9156280026285,26.8822416082148,28.2107680719994,0.3,0.125,0.0,0.5599999999999999,0.125,0.0,0.0625,0.125,0.0625,0.2083333,0.25,0.1071429,0.6862499999999999,0.1875,0.0249999999999999,0.302,0.306,0.102,0.4444444444444444,0.4444444444444444,0.4444444444444444,2303.9598364252465,2149.943637743066,11.4556283331357,11.4556283331357,37.34876378377277,32.368738174438484,46.7098945514103,46.7098945514103,0.94765043477333,2.125079476378974,26619525.0,25937447.2,14.675536356571834,14.24684076665498,25.231663939261306,26.14357182448462,0.14166666666666666,0.08499999999999999,0.2283333333333333,0.187,0.10416666666666667,0.0875,0.18849206666666665,0.15595240000000002,0.31625,0.20974999999999996,0.23622223333333334,0.16213334,0.4444444444444444,0.4444444444444444,373.5177302503698,0.0,5.369098663330099,0.0,-0.0034712991598500054,983479.0,1.4484192079892004,-5.018505795687901,-0.3,-0.5599999999999999,0.0625,-0.1011904,-0.61125,-0.2013333,0.0,0
Afghanistan,AFG,2010,2848.58606111495,11.4556283331357,50.4406204223633,46.7098945514103,1.20311798981139,28284089,16.9843225135611,21.1514206977128,0.0,0.0,0.125,0.1071429,0.075,0.0826667,0.4444444444444444,17.157810013712236,3.6982298828819613,2565.02208584099,2191.50435559062,2155.35306784413,11.4556283331357,11.4556283331357,11.4556283331357,44.2999496459961,38.930850982666,28.8154907226562,46.7098945514103,46.7098945514103,46.7098945514103,0.45188914562189,0.45536044478174,1.93570171391636,27466101.0,26482622.0,25909852.0,15.7209119699527,14.2724927619635,14.0332043377993,21.8971222069406,26.9156280026285,26.8822416082148,0.0,0.3,0.125,0.0,0.5599999999999999,0.125,0.125,0.0625,0.125,0.1071429,0.2083333,0.25,0.075,0.6862499999999999,0.1875,0.1006667,0.302,0.306,0.4444444444444444,0.4444444444444444,0.4444444444444444,2535.037500848853,2338.037893496882,11.4556283331357,11.4556283331357,44.5571403503418,38.402160263061525,46.7098945514103,46.7098945514103,0.7034558600716734,1.491968453472678,27410937.333333332,26713351.6,15.659242415159099,14.943650728609942,23.3213903024273,25.011436117499223,0.09999999999999999,0.08499999999999999,0.18666666666666665,0.13699999999999998,0.10416666666666667,0.1,0.14087303333333334,0.1559524,0.27875,0.20974999999999996,0.1617778,0.17866668,0.4444444444444444,0.4444444444444444,283.5639752739603,0.0,6.140670776367202,0.0,0.7512288441895,817988.0,1.2634105436083995,-0.7457015092277999,0.0,0.0,0.0,0.0,0.0,-0.018000000000000002,0.0,0
Afghanistan,AFG,2011,2757.05258747725,11.4556283331357,52.4474296569824,46.7098945514103,0.293025179616803,29347708,17.5647106902863,22.7402524820273,0.0,0.0,0.125,0.1071429,0.075,0.0826667,0.4444444444444444,17.194725043270065,3.675431393275858,2848.58606111495,2565.02208584099,2191.50435559062,11.4556283331357,11.4556283331357,11.4556283331357,50.4406204223633,44.2999496459961,38.930850982666,46.7098945514103,46.7098945514103,46.7098945514103,1.20311798981139,0.45188914562189,0.45536044478174,28284089.0,27466101.0,26482622.0,16.9843225135611,15.7209119699527,14.2724927619635,21.1514206977128,21.8971222069406,26.9156280026285,0.0,0.0,0.3,0.0,0.0,0.5599999999999999,0.125,0.125,0.0625,0.1071429,0.1071429,0.2083333,0.075,0.075,0.6862499999999999,0.0826667,0.1006667,0.302,0.4444444444444444,0.4444444444444444,0.4444444444444444,2723.5535781443964,2503.503631573588,11.4556283331357,11.4556283331357,49.06266657511393,42.986868286132804,46.7098945514103,46.7098945514103,0.6493441050166943,0.8678188947496365,28365966.0,27498074.4,16.7566483912667,15.715128454712579,21.929598462226902,23.9173329995048,0.0,0.08499999999999999,0.0,0.13699999999999998,0.125,0.1125,0.1071429,0.15595240000000002,0.075,0.21974999999999997,0.08866669999999999,0.17480002,0.4444444444444444,0.4444444444444444,-91.5334736376999,0.0,2.006809234619098,0.0,-0.9100928101945869,1063619.0,0.5803881767252008,1.5888317843145003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Afghanistan,AFG,2012,2985.31914452845,11.4556283331357,54.372859954834,46.7098945514103,0.285440893554571,30560034,18.922538408842,21.1578071539751,0.0,0.0,0.125,0.1071429,0.075,0.0826667,0.4444444444444444,17.235203667549897,3.6752392005855863,2757.05258747725,2848.58606111495,2565.02208584099,11.4556283331357,11.4556283331357,11.4556283331357,52.4474296569824,50.4406204223633,44.2999496459961,46.7098945514103,46.7098945514103,46.7098945514103,0.293025179616803,1.20311798981139,0.45188914562189,29347708.0,28284089.0,27466101.0,17.5647106902863,16.9843225135611,15.7209119699527,22.7402524820273,21.1514206977128,21.8971222069406,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.1071429,0.1071429,0.1071429,0.075,0.075,0.075,0.0826667,0.0826667,0.1006667,0.4444444444444444,0.4444444444444444,0.4444444444444444,2863.6525977068836,2669.496846910452,11.4556283331357,11.4556283331357,52.42030334472657,48.09834213256836,46.7098945514103,46.7098945514103,0.593861354327588,0.5377667306772788,29397277.0,28428110.8,17.8238572042298,16.692995268921116,21.683160111238397,22.77244610865686,0.0,0.06,0.0,0.11199999999999999,0.125,0.1125,0.1071429,0.12738098,0.075,0.19724999999999998,0.0826667,0.13013335999999998,0.4444444444444444,0.4444444444444444,228.26655705119992,0.0,1.925430297851598,0.0,-0.0075842860622320485,1212326.0,1.3578277185557006,-1.5824453280522022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
