country_code,year_pred
AFG,2006
AFG,2007
AFG,2008
AFG,2009
AFG,2010
AFG,2011
AFG,2012
AFG,2013
AFG,2014
AFG,2015
AFG,2016
AFG,2017
AFG,2018
AFG,2019
AFG,2020
AFG,2021
AFG,2022
AFG,2023
AGO,2003
AGO,2004
AGO,2005
AGO,2006
AGO,2007
AGO,2008
AGO,2009
AGO,2010
AGO,2011
AGO,2012
AGO,2013
AGO,2014
AGO,2015
AGO,2016
AGO,2017
AGO,2018
AGO,2019
AGO,2020
AGO,2021
AGO,2022
AGO,2023
ALB,2001
ALB,2002
ALB,2003
ALB,2004
ALB,2005
ALB,2006
ALB,2007
ALB,2008
ALB,2009
ALB,2010
ALB,2011
ALB,2012
ALB,2013
ALB,2014
ALB,2015
ALB,2016
ALB,2017
ALB,2018
ALB,2019
ALB,2020
ALB,2021
ALB,2022
ALB,2023
ARG,2001
ARG,2002
ARG,2003
ARG,2004
ARG,2005
ARG,2006
ARG,2007
ARG,2008
ARG,2009
ARG,2010
ARG,2011
ARG,2012
ARG,2013
ARG,2014
ARG,2015
ARG,2016
ARG,2017
ARG,2018
ARG,2019
ARG,2020
ARG,2021
ARG,2022
ARG,2023
ARM,2001
ARM,2002
ARM,2003
ARM,2004
ARM,2005
ARM,2006
ARM,2007
ARM,2008
ARM,2009
ARM,2010
ARM,2011
ARM,2012
ARM,2013
ARM,2014
ARM,2015
ARM,2016
ARM,2017
ARM,2018
ARM,2019
ARM,2020
ARM,2021
ARM,2022
ARM,2023
AZE,2001
AZE,2002
AZE,2003
AZE,2004
AZE,2005
AZE,2006
AZE,2007
AZE,2008
AZE,2009
AZE,2010
AZE,2011
AZE,2012
AZE,2013
AZE,2014
AZE,2015
AZE,2016
AZE,2017
AZE,2018
AZE,2019
AZE,2020
AZE,2021
AZE,2022
AZE,2023
BDI,2004
BDI,2005
BDI,2006
BDI,2007
BDI,2008
BDI,2009
BDI,2010
BDI,2011
BDI,2012
BDI,2013
BDI,2014
BDI,2015
BDI,2016
BDI,2017
BDI,2018
BDI,2019
BDI,2020
BDI,2021
BDI,2022
BDI,2023
BEN,2001
BEN,2002
BEN,2003
BEN,2004
BEN,2005
BEN,2006
BEN,2007
BEN,2008
BEN,2009
BEN,2010
BEN,2011
BEN,2012
BEN,2013
BEN,2014
BEN,2015
BEN,2016
BEN,2017
BEN,2018
BEN,2019
BEN,2020
BEN,2021
BEN,2022
BEN,2023
BFA,2001
BFA,2002
BFA,2003
BFA,2004
BFA,2005
BFA,2006
BFA,2007
BFA,2008
BFA,2009
BFA,2010
BFA,2011
BFA,2012
BFA,2013
BFA,2014
BFA,2015
BFA,2016
BFA,2017
BFA,2018
BFA,2019
BFA,2020
BFA,2021
BFA,2022
BFA,2023
BGD,2001
BGD,2002
BGD,2003
BGD,2004
BGD,2005
BGD,2006
BGD,2007
BGD,2008
BGD,2009
BGD,2010
BGD,2011
BGD,2012
BGD,2013
BGD,2014
BGD,2015
BGD,2016
BGD,2017
BGD,2018
BGD,2019
BGD,2020
BGD,2021
BGD,2022
BGD,2023
BIH,2001
